scene,seed,rep,arm,seconds,cost,target
venice-52,61,1,selective,0.7187115391716361,30839.622707383252,30066.36126838933
venice-52,61,1,selective,0.781620176974684,29963.302113748785,30066.36126838933
venice-52,61,2,selective,0.0,426696.9535162182,30066.36126838933
venice-52,61,2,selective,0.10771040851250291,103156.11116886792,30066.36126838933
venice-52,61,2,selective,0.17859933152794838,88792.80856879886,30066.36126838933
venice-52,61,2,selective,0.2421855004504323,81895.85555212351,30066.36126838933
venice-52,61,2,selective,0.31631482439115644,75154.5453354054,30066.36126838933
venice-52,61,2,selective,0.37911618361249566,67568.09083773186,30066.36126838933
venice-52,61,2,selective,0.4522794564254582,58720.02647375007,30066.36126838933
venice-52,61,2,selective,0.5163866854272783,48793.06462353478,30066.36126838933
venice-52,61,2,selective,0.5899423393420875,39594.89349782244,30066.36126838933
venice-52,61,2,selective,0.6533833583816886,33535.79952509258,30066.36126838933
venice-52,61,2,selective,0.7222525295801461,30839.622707383252,30066.36126838933
venice-52,61,2,selective,0.7849884387105703,29963.302113748785,30066.36126838933
venice-52,62,0,fine,0.0,433805.0441079809,34856.93208568635
venice-52,62,0,fine,0.06638631038367748,106198.11437958234,34856.93208568635
venice-52,62,0,fine,0.13632590230554342,91411.98852867998,34856.93208568635
venice-52,62,0,fine,0.1998163410462439,84783.79368688085,34856.93208568635
venice-52,62,0,fine,0.2742222254164517,78584.45843437142,34856.93208568635
venice-52,62,0,fine,0.33811188442632556,71497.8876839695,34856.93208568635
venice-52,62,0,fine,0.4124209680594504,63056.94078268254,34856.93208568635
venice-52,62,0,fine,0.4763380973599851,53561.12819215169,34856.93208568635
venice-52,62,0,fine,0.5507802511565387,44712.86920048044,34856.93208568635
venice-52,62,0,fine,0.6155954310670495,38689.54062494983,34856.93208568635
venice-52,62,0,fine,0.6899193553254008,35896.91610718291,34856.93208568635
venice-52,62,0,fine,0.7534812544472516,34954.10432407159,34856.93208568635
venice-52,62,0,fine,0.827523548156023,34638.90044954241,34856.93208568635
venice-52,62,1,fine,0.0,433805.0441079809,34856.93208568635
venice-52,62,1,fine,0.06713730096817017,106198.11437958234,34856.93208568635
venice-52,62,1,fine,0.13805173290893435,91411.98852867998,34856.93208568635
venice-52,62,1,fine,0.2020974326878786,84783.79368688085,34856.93208568635
venice-52,62,1,fine,0.27712624706327915,78584.45843437142,34856.93208568635
venice-52,62,1,fine,0.3407180360518396,71497.8876839695,34856.93208568635
venice-52,62,1,fine,0.4146326300688088,63056.94078268254,34856.93208568635
venice-52,62,1,fine,0.4782826090231538,53561.12819215169,34856.93208568635
venice-52,62,1,fine,0.5411696578375995,44712.86920048044,34856.93208568635
venice-52,62,1,fine,0.6039604167453945,38689.54062494983,34856.93208568635
venice-52,62,1,fine,0.6668250346556306,35896.91610718291,34856.93208568635
venice-52,62,1,fine,0.7293435437604785,34954.10432407159,34856.93208568635
venice-52,62,1,fine,0.7914316216483712,34638.90044954241,34856.93208568635
venice-52,62,2,fine,0.0,433805.0441079809,34856.93208568635
