accepted,arm,cap_hit,cheirality_obs,final_cost,handover_outer,handover_reason,hit,hybrid_failures,hybrid_open,hybrid_products,hybrid_seconds,hybrid_sweeps,matvecs,median_reproj_px,native_seconds,outers,process_seconds,rejects,rep,scene,source,stage,stop_reason,target,target_seconds
8,champion,False,33,13674.1989768065,,,True,,,,,,79,0.388107,0.037891,8,0.41505313105881214,0,1,ladybug-49,evidence/small/ladybug-49-champion-1,small,target,13713.770267554755,0.037355719
8,champion,False,33,13674.1989767943,,,True,,,,,,79,0.388107,0.037645,8,0.4154161410406232,0,2,ladybug-49,evidence/small/ladybug-49-champion-2,small,target,13713.770267554755,0.037074449
13,menu_feedback,False,33,13699.0631818057,8,opening_cap,True,0,False,209,0.058650921,8,346,0.388532,0.116296,13,0.5653671030886471,0,0,ladybug-49,evidence/small/ladybug-49-menu_feedback-0,small,target,13713.770267554755,0.115602116
13,menu_feedback,False,33,13699.1152214695,8,opening_cap,True,0,False,209,0.054503249,8,346,0.388529,0.118028,13,0.6162490979768336,0,1,ladybug-49,evidence/small/ladybug-49-menu_feedback-1,small,target,13713.770267554755,0.117344376
13,menu_feedback,False,33,13699.1744648236,8,opening_cap,True,0,False,209,0.054620516,8,346,0.388532,0.107696,13,0.5162375899963081,0,2,ladybug-49,evidence/small/ladybug-49-menu_feedback-2,small,target,13713.770267554755,0.106908332
9,shared_center,False,33,13700.9325551653,8,opening_cap,True,0,False,288,0.060424659,9,304,0.388675,0.088432,9,0.5153261292725801,1,0,ladybug-49,evidence/small/ladybug-49-shared_center-0,small,target,13713.770267554755,0.087795872
9,shared_center,False,33,13700.9250626748,8,opening_cap,True,0,False,288,0.066490623,9,304,0.388656,0.096163,9,0.5154457101598382,1,1,ladybug-49,evidence/small/ladybug-49-shared_center-1,small,target,13713.770267554755,0.095493286
9,shared_center,False,33,13700.9128256424,8,opening_cap,True,0,False,288,0.060255542,9,304,0.388651,0.088421,9,0.465570455417037,1,2,ladybug-49,evidence/small/ladybug-49-shared_center-2,small,target,13713.770267554755,0.087760203
15,shared_menu,False,33,13696.7114526653,8,opening_cap,True,0,False,280,0.061597039,8,525,0.38836,0.134713,15,0.5654966835863888,1,0,ladybug-49,evidence/small/ladybug-49-shared_menu-0,small,target,13713.770267554755,0.134021035
16,shared_menu,False,33,13709.2293972232,8,opening_cap,True,0,False,270,0.067414914,8,512,0.388334,0.149154,16,0.5657414738088846,0,1,ladybug-49,evidence/small/ladybug-49-shared_menu-1,small,target,13713.770267554755,0.148449622
16,shared_menu,False,33,13703.6641352226,8,opening_cap,True,0,False,266,0.062625671,8,540,0.388077,0.143843,16,0.5155934491194785,1,2,ladybug-49,evidence/small/ladybug-49-shared_menu-2,small,target,13713.770267554755,0.143152039
35,champion,False,11,248729.9471950048,,,True,,,,,,118,0.366921,0.404539,35,0.9678623182699084,1,0,venice-52,evidence/small/venice-52-champion-0,small,target,248785.17234380785,0.401633885
35,champion,False,11,248729.9728118627,,,True,,,,,,118,0.366921,0.402611,35,0.966473207809031,1,1,venice-52,evidence/small/venice-52-champion-1,small,target,248785.17234380785,0.399692774
