arm,binary_sha256,cost,endpoint_audit,evidence,hit,host,input_sha256,native_seconds,native_trace_min,rep,scene,source,target,target_seconds,timing_kind,valid
Ceres setup normalize_strict,,1814053.155802469,local FP64,separate setup screen,False,Codex,,60.545579445,,0,final-3068,ceres_setup/evidence/normalize_strict-0,1744796.9841897595,,accepted crossing,True
Ceres setup normalize_strict_eta01,,1810675.5409967352,local FP64,separate setup screen,False,Codex,,60.862500645,,0,final-3068,ceres_setup/evidence/normalize_strict_eta01-0,1744796.9841897595,,accepted crossing,True
Ceres setup normalize_strict_eta01,,1810164.003204743,local FP64,separate setup screen,False,Codex,,60.824829469,,1,final-3068,ceres_setup/evidence/normalize_strict_eta01-1,1744796.9841897595,,accepted crossing,True
Ceres setup normalize_strict,,1813919.5744587013,local FP64,separate setup screen,False,Codex,,60.762766763,,1,final-3068,ceres_setup/evidence/normalize_strict-1,1744796.9841897595,,accepted crossing,True
Ceres setup strict_stop,,1822254.7683553046,local FP64,separate setup screen,False,Codex,,60.968574703,,1,final-3068,ceres_setup/evidence/strict_stop-1,1744796.9841897595,,accepted crossing,True
Ceres setup normalize,,1930209.3966143797,local FP64,separate setup screen,False,Codex,,10.874357294,,1,final-3068,ceres_setup/evidence/normalize-1,1744796.9841897595,,accepted crossing,True
Ceres setup normalize,,1930209.4080719578,local FP64,separate setup screen,False,Codex,,10.833653777,,2,final-3068,ceres_setup/evidence/normalize-2,1744796.9841897595,,accepted crossing,True
Ceres setup strict_stop,,1822196.2090300834,local FP64,separate setup screen,False,Codex,,60.886968406,,2,final-3068,ceres_setup/evidence/strict_stop-2,1744796.9841897595,,accepted crossing,True
Ceres setup normalize_strict,,1813901.8528433878,local FP64,separate setup screen,False,Codex,,60.733951008,,2,final-3068,ceres_setup/evidence/normalize_strict-2,1744796.9841897595,,accepted crossing,True
Ceres setup normalize_strict_eta01,,1811893.132320691,local FP64,separate setup screen,False,Codex,,60.290684412,,2,final-3068,ceres_setup/evidence/normalize_strict_eta01-2,1744796.9841897595,,accepted crossing,True
