stage,cell,scene,arm,rep,target,score_init,cost,hit,target_seconds,native_seconds,outers,accepts,rejects,pcg_per_outer,retry_fraction_native,max_raw_radius_ratio,negcurv,cap_hit,source
practical,ladybug-539-1.005,ladybug-539,off,2,164797.8493852759,5535080.118240733,164531.79435951656,True,0.0906,0.108769,9,9,0,4.777777777777778,0.0,0.8039813179389292,0,False,evidence/practical/ladybug-539-1.005-off-2
practical,ladybug-539-1.005,ladybug-539,forcing_reject,2,164797.8493852759,5535080.118240733,164644.45900487527,True,0.0994,0.127575,9,9,1,6.333333333333333,0.049286568685087205,1.1163741412719586,0,False,evidence/practical/ladybug-539-1.005-forcing_reject-2
practical,ladybug-539-1.005,ladybug-539,accurate_reference,2,164797.8493852759,5535080.118240733,164685.9312698475,True,0.1287,0.146482,8,8,0,5.75,0.0,0.7370187813596413,0,False,evidence/practical/ladybug-539-1.005-accurate_reference-2
practical,ladybug-539-1.01,ladybug-539,off,2,165617.73918321263,5535080.118240732,165514.08261311922,True,0.0624,0.080346,6,6,0,6.0,0.0,0.8039813179182327,0,False,evidence/practical/ladybug-539-1.01-off-2
practical,ladybug-539-1.01,ladybug-539,forcing_reject,2,165617.73918321263,5535080.118240732,165258.18105144272,True,0.0821,0.12346,7,7,1,7.714285714285714,0.050728851449862306,1.1163741412726282,0,False,evidence/practical/ladybug-539-1.01-forcing_reject-2
practical,ladybug-539-1.01,ladybug-539,accurate_reference,2,165617.73918321263,5535080.118240732,164685.93129060272,True,0.1413,0.15946,8,8,0,5.75,0.0,0.737018781381912,0,False,evidence/practical/ladybug-539-1.01-accurate_reference-2
practical,ladybug-539-1.02,ladybug-539,off,2,167257.518779086,5535080.118240732,165514.08261311636,True,0.0622,0.084531,6,6,0,6.0,0.0,0.8039813179357893,0,False,evidence/practical/ladybug-539-1.02-off-2
practical,ladybug-539-1.02,ladybug-539,forcing_reject,2,167257.518779086,5535080.118240731,167145.05808213045,True,0.0518,0.069664,5,5,0,5.8,0.0,0.5343419888953639,0,False,evidence/practical/ladybug-539-1.02-forcing_reject-2
practical,ladybug-539-1.02,ladybug-539,accurate_reference,2,167257.518779086,5535080.118240733,167145.0332199044,True,0.1091,0.126853,5,5,0,5.8,0.0,0.5343357730993512,0,False,evidence/practical/ladybug-539-1.02-accurate_reference-2
practical,trafalgar-138-1.005,trafalgar-138,off,2,103088.39569543337,20163569.015917197,102905.10434949094,True,0.296,0.312326,13,13,0,44.84615384615385,0.0,2.0654519809770986,0,False,evidence/practical/trafalgar-138-1.005-off-2
practical,trafalgar-138-1.005,trafalgar-138,forcing_reject,2,103088.39569543337,20163569.015917197,102947.78469022083,True,0.2453,0.261817,13,13,0,36.46153846153846,0.0,2.4562394840868036,0,False,evidence/practical/trafalgar-138-1.005-forcing_reject-2
practical,trafalgar-138-1.005,trafalgar-138,accurate_reference,2,103088.39569543337,20163569.015917197,102948.17113472057,True,0.2763,0.292653,13,13,0,36.46153846153846,0.0,2.4563744723509093,0,False,evidence/practical/trafalgar-138-1.005-accurate_reference-2
practical,trafalgar-138-1.01,trafalgar-138,off,2,103601.27328595793,20163569.015917197,103407.91669385626,True,0.2316,0.247397,10,10,0,45.3,0.0,2.062899625585391,0,False,evidence/practical/trafalgar-138-1.01-off-2
practical,trafalgar-138-1.01,trafalgar-138,forcing_reject,2,103601.27328595793,20163569.015917197,103244.88001016626,True,0.1838,0.20036,11,11,0,31.363636363636363,0.0,2.4562976058089983,0,False,evidence/practical/trafalgar-138-1.01-forcing_reject-2
practical,trafalgar-138-1.01,trafalgar-138,accurate_reference,2,103601.27328595793,20163569.015917197,103244.66910008443,True,0.2342,0.250297,11,11,0,31.363636363636363,0.0,2.4561588416700655,0,False,evidence/practical/trafalgar-138-1.01-accurate_reference-2
practical,trafalgar-138-1.02,trafalgar-138,off,2,104627.02846700703,20163569.0159172,104518.28509014394,True,0.1277,0.143937,8,8,0,28.125,0.0,1.9127754174820342,0,False,evidence/practical/trafalgar-138-1.02-off-2
practical,trafalgar-138-1.02,trafalgar-138,forcing_reject,2,104627.02846700703,20163569.015917197,104415.36883178324,True,0.1244,0.140304,9,9,0,24.0,0.0,2.45595900227899,0,False,evidence/practical/trafalgar-138-1.02-forcing_reject-2
practical,trafalgar-138-1.02,trafalgar-138,accurate_reference,2,104627.02846700703,20163569.015917197,104437.00972540712,True,0.1528,0.169107,9,9,0,24.0,0.0,2.458809833328086,0,False,evidence/practical/trafalgar-138-1.02-accurate_reference-2
practical,final-394-1.005,final-394,off,2,306349.5931045434,4545737.692797158,305937.94078275736,True,0.245,0.263411,11,11,0,11.272727272727273,0.0,1.0971686268658147,0,False,evidence/practical/final-394-1.005-off-2
practical,final-394-1.005,final-394,forcing_reject,2,306349.5931045434,4545737.692797156,305926.0174069113,True,0.2554,0.276459,12,12,0,11.083333333333334,0.0,3.118914930143801,0,False,evidence/practical/final-394-1.005-forcing_reject-2
practical,final-394-1.005,final-394,accurate_reference,2,306349.5931045434,4545737.692797157,305953.2584824652,True,0.3582,0.376675,11,11,0,12.0,0.0,3.0792056012639475,0,False,evidence/practical/final-394-1.005-accurate_reference-2
practical,final-394-1.01,final-394,off,2,307873.7204334218,4545737.692797156,306992.1861495297,True,0.1746,0.19308,9,9,0,8.555555555555555,0.0,1.097168626873157,0,False,evidence/practical/final-394-1.01-off-2
